timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
01:12:49,Feb 08 01:12:49,ETH15m,DOWN,0.0250,97.5%,131,0.74,unknown,UP,NO,-5.00
01:12:50,Feb 08 01:12:50,ETH15m,DOWN,0.0250,97.5%,130,0.72,unknown,UP,NO,-5.00
01:12:51,Feb 08 01:12:51,ETH15m,DOWN,0.0250,97.5%,129,0.73,unknown,UP,NO,-5.00
01:12:52,Feb 08 01:12:52,ETH15m,DOWN,0.0250,97.5%,128,0.73,unknown,UP,NO,-5.00
01:12:53,Feb 08 01:12:53,ETH15m,DOWN,0.0250,97.5%,127,0.74,unknown,UP,NO,-5.00
01:12:54,Feb 08 01:12:54,ETH15m,DOWN,0.0250,97.5%,126,0.73,unknown,UP,NO,-5.00
01:12:55,Feb 08 01:12:55,ETH15m,DOWN,0.0250,97.5%,125,0.74,unknown,UP,NO,-5.00
01:26:01,Feb 08 01:26:01,ETH15m,UP,0.0210,2.1%,239,0.41,unknown,UP,YES,+233.10
01:26:02,Feb 08 01:26:02,ETH15m,UP,0.0210,2.1%,238,0.41,unknown,UP,YES,+233.10
01:26:03,Feb 08 01:26:03,ETH15m,UP,0.0210,2.1%,237,0.40,unknown,UP,YES,+233.10
01:26:04,Feb 08 01:26:04,ETH15m,UP,0.0210,2.1%,236,0.41,unknown,UP,YES,+233.10
01:26:05,Feb 08 01:26:05,ETH15m,UP,0.0210,2.1%,235,0.41,unknown,UP,YES,+233.10
01:26:06,Feb 08 01:26:06,ETH15m,UP,0.0210,2.1%,234,0.41,unknown,UP,YES,+233.10
01:26:07,Feb 08 01:26:07,ETH15m,UP,0.0210,2.1%,233,0.40,unknown,UP,YES,+233.10
01:26:08,Feb 08 01:26:08,ETH15m,UP,0.0210,2.1%,232,0.40,unknown,UP,YES,+233.10
01:26:09,Feb 08 01:26:09,ETH15m,UP,0.0210,2.1%,231,0.41,unknown,UP,YES,+233.10
